day,power_consumed,weather_index,holiday_index,maximum_temperature,humidity,wind_velocity,pressure,rainfall
2011-11-23,6.952692315,1,0,10.36,6.29,2.04,1027.12,13
2011-11-24,8.536479996,1,0,12.93,8.56,4.04,1027.22,25
2011-11-25,9.499781247,0,0,13.03,7.24,5.02,1024.47,32
2011-11-26,10.26770731,0,0,12.96,6.96,5.75,1025.8,41
2011-11-27,10.85080489,0,0,13.54,5.76,5.48,1021.11,41
2011-11-28,9.103381815,1,0,12.58,4.39,2.34,1022.8,55
2011-11-29,9.274873024,0,0,13.47,8.61,6.48,1009.7,63
2011-11-30,8.813513158,0,0,11.87,5.26,4.43,1019.43,76
2011-12-01,9.227706527,1,0,12.15,6.87,2.57,1007.12,92
2011-12-02,10.14591001,1,0,8.07,3.69,3,1012.12,100
2011-12-03,10.86215455,0,0,11.42,6.58,5.42,1003.55,110
2011-12-04,12.35188182,0,0,9.11,4.87,4.31,1001.15,110
2011-12-05,10.65749207,0,0,6.87,0.84,5.57,1006.01,126
2011-12-06,11.77434091,0,0,6.91,2.15,4.79,1007.32,132
2011-12-07,10.94898027,0,0,9.02,1.79,7.06,1008.76,152
2011-12-08,11.60697006,0,0,12.89,5.96,7.01,1010.84,167
2011-12-09,11.82405435,0,0,7.68,0.41,5.65,1010.6,184
2011-12-10,12.71468656,1,0,6.08,-0.34,3.08,1015.58,201
2011-12-11,13.80326369,1,0,8.59,4.49,3.94,1007.71,201
2011-12-12,11.99748148,0,0,9.82,4.1,5.02,1002.47,216
2011-12-13,11.99235268,0,0,12.08,3.62,7.44,990.27,224
2011-12-14,12.42521983,0,0,5.92,1.68,4.48,994.48,232
2011-12-15,12.36226191,0,0,7.97,2.41,4.71,996.75,252
2011-12-16,13.41657251,1,0,4.68,1.6,3.71,988.1,262
2011-12-17,13.58335357,1,0,5.35,0.96,3.99,1008.46,280
2011-12-18,14.809275,1,0,5.49,-0.31,3.6,1016.37,280
2011-12-19,13.7936742,1,0,6.64,2.45,2.7,1014.39,310
2011-12-20,12.74548936,0,0,8.26,3.64,4.25,1015.09,329
2011-12-21,12.17145559,1,0,12.14,8.6,2.9,1017.91,349
2011-12-22,11.86490463,1,0,12.14,8.07,4.31,1024.71,367
2011-12-23,12.2896508,0,0,11.44,7.08,4.85,1017.67,378
2011-12-24,13.0950582,0,0,8.22,2.79,4.46,1028.17,378
2011-12-25,12.95984656,0,0,11.98,7.9,5.81,1028.45,378
2011-12-26,11.11603175,0,0,12.91,8.88,5.44,1033.14,378
2011-12-27,11.51313492,0,0,10.33,5.47,3.54,1032.76,378
2011-12-28,11.81270801,0,0,11.19,4.89,6.02,1021.31,387
2011-12-29,12.1779801,0,0,9.58,3.3,6.83,1020.47,402
2011-12-30,12.44535037,1,0,10.27,4.12,3.71,1016.85,411
2011-12-31,12.48061314,0,0,12.57,9.87,5.46,1010.02,411
2012-01-01,12.52114598,1,0,12.59,9.45,4.92,1004.82,411
